case_id,experiment,latency_ms,input_tokens,output_tokens,meta_family,meta_difficulty,meta_index,question_id,type,label,p_true,confidence_top,pred,correct,brier,nll,reported_confidence,entropy_norm,p_label,score,mae,meta_group,meta_trial,meta_semantic_correct,meta_noise_units,meta_removal_level,meta_variant,meta_attack_target,meta_instructions,meta_repetition,meta_question_count,meta_bundle_size,meta_cardinality,meta_domain,meta_context_chars,meta_evidence_position
case_f26b6f814ff323d0,calibration_noul_factual,155.1623330451548,133,0,factual,easy,0.0,target,noul,1,0.9990889488055994,0.9990889488055994,1,1,8.300142788187649e-07,0.0009114664537742021,,,,,,,,,,,,,,,,,,,,
case_f5b79cab6a426b41,calibration_noul_factual,152.68375002779067,133,0,factual,easy,1.0,target,noul,1,0.998498817743263,0.998498817743263,1,1,2.253548167942023e-06,0.0015023101597543026,,,,,,,,,,,,,,,,,,,,
case_edd0eb03665dd4bc,calibration_noul_factual,153.93783408217132,134,0,factual,easy,2.0,target,noul,0,0.017986209962091555,0.9820137900379085,0,1,0.0003235037488004415,0.01814992791780973,,,,,,,,,,,,,,,,,,,,
case_7593846340b74616,calibration_noul_factual,154.31183413602412,134,0,factual,easy,3.0,target,noul,0,0.017986209962091555,0.9820137900379085,0,1,0.0003235037488004415,0.01814992791780973,,,,,,,,,,,,,,,,,,,,
case_3d8453af6ec3f290,calibration_noul_factual,153.30545813776553,134,0,factual,easy,4.0,target,noul,0,0.017986209962091555,0.9820137900379085,0,1,0.0003235037488004415,0.01814992791780973,,,,,,,,,,,,,,,,,,,,
case_480bd0b979267840,calibration_noul_factual,153.7012921180576,134,0,factual,easy,5.0,target,noul,0,0.017986209962091555,0.9820137900379085,0,1,0.0003235037488004415,0.01814992791780973,,,,,,,,,,,,,,,,,,,,
case_5c60e3182c275547,calibration_noul_factual,153.02662504836917,133,0,factual,easy,6.0,target,noul,1,0.9988304897349445,0.9988304897349445,1,1,1.3677542600702274e-06,0.0011701946758545612,,,,,,,,,,,,,,,,,,,,
case_b8c770bc52935964,calibration_noul_factual,154.39104102551937,134,0,factual,easy,7.0,target,noul,0,0.014063627043245474,0.9859363729567545,0,1,0.00019778560561150543,0.014163456931504987,,,,,,,,,,,,,,,,,,,,
case_6a781cb69f6bfc8f,calibration_noul_factual,152.94966707006097,133,0,factual,easy,8.0,target,noul,1,0.9992903296008995,0.9992903296008995,1,1,5.036320753594999e-07,0.0007099223343392451,,,,,,,,,,,,,,,,,,,,
case_2cb3d96c7e62f5d7,calibration_noul_factual,152.85579208284616,133,0,factual,easy,9.0,target,noul,0,0.020332353342658753,0.9796676466573413,0,1,0.0004134045924507266,0.02054190090109686,,,,,,,,,,,,,,,,,,,,
case_57e7aab90f79707a,calibration_noul_factual,153.50575000047684,135,0,factual,easy,10.0,target,noul,0,0.02595735719779685,0.9740426428022031,0,1,0.0006737843926940158,0.02630019518687535,,,,,,,,,,,,,,,,,,,,
case_922a5f36d45eb120,calibration_noul_factual,153.32412510178983,134,0,factual,easy,11.0,target,noul,0,0.017986209962091555,0.9820137900379085,0,1,0.0003235037488004415,0.01814992791780973,,,,,,,,,,,,,,,,,,,,
case_2b92a947d9e0ef82,calibration_noul_factual,153.5711248870939,133,0,factual,easy,12.0,target,noul,1,0.9989677689632452,0.9989677689632452,1,1,1.0655009132398076e-06,0.0010327641541098087,,,,,,,,,,,,,,,,,,,,
case_d0f0324acb12ed07,calibration_noul_factual,153.50191690959036,134,0,factual,easy,13.0,target,noul,0,0.033085978388704126,0.9669140216112959,0,1,0.0010946819659377965,0.03364569998303865,,,,,,,,,,,,,,,,,,,,
case_12d8f637391a3294,calibration_noul_factual,153.5601660143584,133,0,factual,easy,14.0,target,noul,1,0.9988304897349445,0.9988304897349445,1,1,1.3677542600702274e-06,0.0011701946758545612,,,,,,,,,,,,,,,,,,,,
case_bc0f6b8e47c89ca3,calibration_noul_factual,153.03766611032188,133,0,factual,easy,15.0,target,noul,0,0.020332353342658753,0.9796676466573413,0,1,0.0004134045924507266,0.02054190090109686,,,,,,,,,,,,,,,,,,,,
case_a423d4dde645898d,calibration_noul_factual,154.57941708154976,135,0,factual,easy,16.0,target,noul,0,0.02297736991002561,0.9770226300899744,0,1,0.0005279595279821503,0.02324546437242505,,,,,,,,,,,,,,,,,,,,
case_0a161cdafcadb8c2,calibration_noul_factual,154.13858299143612,134,0,factual,easy,17.0,target,noul,1,0.9988304897349445,0.9988304897349445,1,1,1.3677542600702274e-06,0.0011701946758545612,,,,,,,,,,,,,,,,,,,,
