provider,experiment,ok,compatibility_status,comparable,question_count,cardinality,context_chars,evidence_position,wall_ms,server_ms,error_type
jev,parallel_question_scaling,True,,,1.0,,,,289.1887079458684,71.0,
jev,parallel_question_scaling,True,,,2.0,,,,328.6452079191804,111.0,
jev,parallel_question_scaling,True,,,4.0,,,,406.4356251619756,101.0,
jev,parallel_question_scaling,True,,,8.0,,,,327.0672911312431,107.0,
jev,parallel_question_scaling,True,,,16.0,,,,303.1648339238018,88.0,
jev,parallel_question_scaling,True,,,32.0,,,,378.74200008809566,156.0,
jev,parallel_question_scaling,True,,,64.0,,,,327.81783398240805,96.0,
jev,choice_cardinality_scaling,True,,,,2.0,,,267.4212078563869,48.0,
jev,choice_cardinality_scaling,True,,,,4.0,,,292.82604181207716,78.0,
jev,choice_cardinality_scaling,True,,,,16.0,,,277.24045887589455,58.0,
jev,choice_cardinality_scaling,True,,,,8.0,,,380.09741716086864,98.0,
jev,choice_cardinality_scaling,True,,,,32.0,,,377.50358297489583,136.0,
jev,choice_cardinality_scaling,True,,,,64.0,,,288.01583289168775,65.0,
jev,choice_cardinality_scaling,True,,,,128.0,,,322.328332811594,104.0,
jev,context_length_position,True,,,,,500.0,start,310.11120812036097,70.0,
jev,context_length_position,True,,,,,500.0,middle,318.48566699773073,69.0,
jev,context_length_position,True,,,,,2000.0,start,292.2819168306887,73.0,
jev,context_length_position,True,,,,,2000.0,middle,292.24408394657075,63.0,
jev,context_length_position,True,,,,,500.0,end,352.6212500873953,134.0,
jev,context_length_position,True,,,,,8000.0,middle,317.1792500652373,96.0,
jev,context_length_position,True,,,,,2000.0,end,401.3944158796221,123.0,
jev,context_length_position,True,,,,,8000.0,end,272.6834579370916,60.0,
jev,context_length_position,True,,,,,8000.0,start,351.4761670958251,130.0,
jev,context_length_position,True,,,,,32000.0,middle,314.2190829385072,87.0,
jev,context_length_position,True,,,,,32000.0,start,336.9117078837007,110.0,
jev,context_length_position,True,,,,,32000.0,end,633.8001249823719,127.0,
semif,parallel_question_scaling,True,full_input,True,1.0,,,,504.6011251397431,504.601125,
semif,parallel_question_scaling,True,full_input,True,2.0,,,,555.9543750714511,555.954375,
semif,parallel_question_scaling,True,full_input,True,4.0,,,,675.1019158400595,675.101916,
semif,parallel_question_scaling,True,full_input,True,8.0,,,,895.0714578386396,895.071458,
semif,parallel_question_scaling,True,full_input,True,16.0,,,,1377.4890000931919,1377.489,
semif,parallel_question_scaling,True,full_input,True,32.0,,,,2368.8042918220162,2368.804292,
semif,parallel_question_scaling,True,full_input,True,64.0,,,,4355.5446669925,4355.544667,
semif,choice_cardinality_scaling,True,full_input,True,,2.0,,,160.2227499242872,160.22275,
semif,choice_cardinality_scaling,True,full_input,True,,4.0,,,214.17604200541973,214.176042,
semif,choice_cardinality_scaling,True,full_input,True,,8.0,,,275.1161251217127,275.116125,
semif,choice_cardinality_scaling,True,full_input,True,,16.0,,,422.0624170266092,422.062417,
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,32.0,,,1.0346670169383287,1.034667,ValueError
semif,choice_cardinality_scaling,False,unsupported_cardinality,False,,64.0,,,0.2479169052094221,0.247917,ValueError
