case_id,experiment,latency_ms,input_tokens,output_tokens,meta_question_count,question_id,type,label,p_true,confidence_top,pred,correct,brier,nll,meta_cardinality,reported_confidence,entropy_norm,p_label,meta_context_chars,meta_evidence_position
case_5b7f4b9c14258487,parallel_question_scaling,84.03337514027953,931,0,1.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_4602ebd4f8141c43,parallel_question_scaling,186.62245804443955,1862,0,2.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_4602ebd4f8141c43,parallel_question_scaling,186.62245804443955,1862,0,2.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,484.14437496103346,3724,0,4.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,484.14437496103346,3724,0,4.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,484.14437496103346,3724,0,4.0,q_002,noul,1,0.5884,0.5884,1,1,0.16941455999999996,0.5303482902548545,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,484.14437496103346,3724,0,4.0,q_003,noul,0,0.4176,0.5824,0,1,0.17438976000000003,0.5405977820996608,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_002,noul,1,0.5884,0.5884,1,1,0.16941455999999996,0.5303482902548545,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_003,noul,0,0.4176,0.5824,0,1,0.17438976000000003,0.5405977820996608,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_004,noul,1,0.5918,0.5918,1,1,0.16662724,0.5245865390160278,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_005,noul,0,0.4116,0.5884,0,1,0.16941456000000002,0.5303482902548545,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_006,noul,1,0.5492,0.5492,1,1,0.20322063999999998,0.599292605088321,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,790.3019580990076,7448,0,8.0,q_007,noul,0,0.3937,0.6063000000000001,0,1,0.15499969,0.5003803659044519,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_002,noul,1,0.5884,0.5884,1,1,0.16941455999999996,0.5303482902548545,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_003,noul,0,0.4176,0.5824,0,1,0.17438976000000003,0.5405977820996608,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_004,noul,1,0.5918,0.5918,1,1,0.16662724,0.5245865390160278,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_005,noul,0,0.4116,0.5884,0,1,0.16941456000000002,0.5303482902548545,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_006,noul,1,0.5492,0.5492,1,1,0.20322063999999998,0.599292605088321,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_007,noul,0,0.3937,0.6063000000000001,0,1,0.15499969,0.5003803659044519,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_008,noul,1,0.523,0.523,1,1,0.22752899999999998,0.6481738149172142,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_009,noul,0,0.3681,0.6319,0,1,0.13549761,0.45902412520272745,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_010,noul,1,0.5311,0.5311,1,1,0.21986720999999998,0.6328049515537836,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_011,noul,0,0.4578,0.5422,0,1,0.20958084,0.6121203419175719,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_012,noul,1,0.5056,0.5056,1,1,0.24443135999999996,0.6820094361494893,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_013,noul,0,0.2887,0.7113,0,1,0.08334769,0.3406609972426675,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_014,noul,1,0.2659,0.7341,0,0,0.53890281,1.3246349807331628,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1739.464582875371,14896,0,16.0,q_015,noul,0,0.28,0.72,0,1,0.07840000000000001,0.3285040669720361,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_002,noul,1,0.5884,0.5884,1,1,0.16941455999999996,0.5303482902548545,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_003,noul,0,0.4176,0.5824,0,1,0.17438976000000003,0.5405977820996608,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_004,noul,1,0.5918,0.5918,1,1,0.16662724,0.5245865390160278,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_005,noul,0,0.4116,0.5884,0,1,0.16941456000000002,0.5303482902548545,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_006,noul,1,0.5492,0.5492,1,1,0.20322063999999998,0.599292605088321,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_007,noul,0,0.3937,0.6063000000000001,0,1,0.15499969,0.5003803659044519,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_008,noul,1,0.523,0.523,1,1,0.22752899999999998,0.6481738149172142,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_009,noul,0,0.3681,0.6319,0,1,0.13549761,0.45902412520272745,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_010,noul,1,0.5311,0.5311,1,1,0.21986720999999998,0.6328049515537836,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_011,noul,0,0.4578,0.5422,0,1,0.20958084,0.6121203419175719,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_012,noul,1,0.5056,0.5056,1,1,0.24443135999999996,0.6820094361494893,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_013,noul,0,0.2887,0.7113,0,1,0.08334769,0.3406609972426675,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_014,noul,1,0.2659,0.7341,0,0,0.53890281,1.3246349807331628,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_015,noul,0,0.28,0.72,0,1,0.07840000000000001,0.3285040669720361,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_016,noul,1,0.3405,0.6595,0,0,0.43494025,1.07734015339257,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_017,noul,0,0.2848,0.7152000000000001,0,1,0.08111104,0.3351930551228326,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_018,noul,1,0.3698,0.6302,0,0,0.39715204,0.9947929600291125,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_019,noul,0,0.3237,0.6763,0,1,0.10478169,0.3911185144012428,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_020,noul,1,0.5061,0.5061,1,1,0.24393721000000002,0.6810210007621047,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_021,noul,0,0.3777,0.6223000000000001,0,1,0.14265729,0.4743329874069647,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_022,noul,1,0.4846,0.5154000000000001,0,0,0.2656371600000001,0.7244314705997117,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_023,noul,0,0.3799,0.6201,0,1,0.14432401,0.4778745236263048,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_024,noul,1,0.465,0.5349999999999999,0,0,0.2862249999999999,0.7657178733947807,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_025,noul,0,0.3794,0.6206,0,1,0.14394436000000002,0.4770685269678572,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_026,noul,1,0.433,0.567,0,0,0.32148899999999997,0.8370175509796473,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_027,noul,0,0.2629,0.7371,0,1,0.06911641000000002,0.30503171078689395,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_028,noul,1,0.3031,0.6969000000000001,0,0,0.4856696100000001,1.1936924949183796,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_029,noul,0,0.2891,0.7109,0,1,0.08357881000000002,0.34122350604669965,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_030,noul,1,0.2657,0.7343,0,0,0.5391964899999999,1.3253874262163692,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2407.444874988869,29792,0,32.0,q_031,noul,0,0.3362,0.6638,0,1,0.11303044,0.4097743796962629,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_002,noul,1,0.5884,0.5884,1,1,0.16941455999999996,0.5303482902548545,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_003,noul,0,0.4176,0.5824,0,1,0.17438976000000003,0.5405977820996608,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_004,noul,1,0.5918,0.5918,1,1,0.16662724,0.5245865390160278,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_005,noul,0,0.4116,0.5884,0,1,0.16941456000000002,0.5303482902548545,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_006,noul,1,0.5492,0.5492,1,1,0.20322063999999998,0.599292605088321,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_007,noul,0,0.3937,0.6063000000000001,0,1,0.15499969,0.5003803659044519,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_008,noul,1,0.523,0.523,1,1,0.22752899999999998,0.6481738149172142,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_009,noul,0,0.3681,0.6319,0,1,0.13549761,0.45902412520272745,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_010,noul,1,0.5311,0.5311,1,1,0.21986720999999998,0.6328049515537836,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_011,noul,0,0.4578,0.5422,0,1,0.20958084,0.6121203419175719,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_012,noul,1,0.5056,0.5056,1,1,0.24443135999999996,0.6820094361494893,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_013,noul,0,0.2887,0.7113,0,1,0.08334769,0.3406609972426675,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_014,noul,1,0.2659,0.7341,0,0,0.53890281,1.3246349807331628,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_015,noul,0,0.28,0.72,0,1,0.07840000000000001,0.3285040669720361,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_016,noul,1,0.3405,0.6595,0,0,0.43494025,1.07734015339257,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_017,noul,0,0.2848,0.7152000000000001,0,1,0.08111104,0.3351930551228326,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_018,noul,1,0.3698,0.6302,0,0,0.39715204,0.9947929600291125,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_019,noul,0,0.3237,0.6763,0,1,0.10478169,0.3911185144012428,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_020,noul,1,0.5061,0.5061,1,1,0.24393721000000002,0.6810210007621047,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_021,noul,0,0.3777,0.6223000000000001,0,1,0.14265729,0.4743329874069647,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_022,noul,1,0.4846,0.5154000000000001,0,0,0.2656371600000001,0.7244314705997117,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_023,noul,0,0.3799,0.6201,0,1,0.14432401,0.4778745236263048,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_024,noul,1,0.465,0.5349999999999999,0,0,0.2862249999999999,0.7657178733947807,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_025,noul,0,0.3794,0.6206,0,1,0.14394436000000002,0.4770685269678572,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_026,noul,1,0.433,0.567,0,0,0.32148899999999997,0.8370175509796473,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_027,noul,0,0.2629,0.7371,0,1,0.06911641000000002,0.30503171078689395,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_028,noul,1,0.3031,0.6969000000000001,0,0,0.4856696100000001,1.1936924949183796,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_029,noul,0,0.2891,0.7109,0,1,0.08357881000000002,0.34122350604669965,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_030,noul,1,0.2657,0.7343,0,0,0.5391964899999999,1.3253874262163692,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_031,noul,0,0.3362,0.6638,0,1,0.11303044,0.4097743796962629,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_032,noul,1,0.4395,0.5605,0,0,0.31416025,0.8221175618569053,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_033,noul,0,0.3334,0.6666000000000001,0,1,0.11115555999999999,0.40556511310849763,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_034,noul,1,0.418,0.5820000000000001,0,0,0.3387240000000001,0.8722738464573808,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_035,noul,0,0.2989,0.7011000000000001,0,1,0.08934121,0.355104748769215,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_036,noul,1,0.4077,0.5923,0,0,0.35081929000000006,0.8972236691569293,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_037,noul,0,0.2801,0.7199,0,1,0.07845601,0.3286429655068798,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_038,noul,1,0.4338,0.5662,0,0,0.32058244,0.835171680589363,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_039,noul,0,0.3202,0.6798,0,1,0.10252803999999999,0.3859566417201215,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_040,noul,1,0.4823,0.5177,0,0,0.26801329000000007,0.7291889519072109,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_041,noul,0,0.365,0.635,0,1,0.13322499999999998,0.4541302800894454,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_042,noul,1,0.4661,0.5339,0,0,0.28504921000000005,0.7633550756034417,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_043,noul,0,0.3304,0.6696,0,1,0.10916416000000002,0.4010747598068715,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_044,noul,1,0.4624,0.5376000000000001,0,0,0.28901376000000006,0.7713249616239694,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_045,noul,0,0.3574,0.6426000000000001,0,1,0.12773476,0.44223283230037885,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_046,noul,1,0.3897,0.6103000000000001,0,0,0.3724660900000001,0.9423780666374735,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_047,noul,0,0.2451,0.7549,0,1,0.060074010000000004,0.28116998883655786,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_048,noul,1,0.3482,0.6517999999999999,0,0,0.4248432399999999,1.0549782516480484,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_049,noul,0,0.254,0.746,0,1,0.064516,0.2930296787783762,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_050,noul,1,0.382,0.618,0,0,0.381924,0.9623346703755619,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_051,noul,0,0.2817,0.7182999999999999,0,1,0.07935489,0.33086796990138123,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_052,noul,1,0.3638,0.6362,0,0,0.40475044,1.0111510128981152,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_053,noul,0,0.2459,0.7541,0,1,0.06046681,0.2822302937735357,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_054,noul,1,0.251,0.749,0,0,0.561001,1.3823023398503531,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_055,noul,0,0.2736,0.7263999999999999,0,1,0.07485696,0.3196544516950536,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_056,noul,1,0.3197,0.6803,0,0,0.46280809,1.1403722229163413,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_057,noul,0,0.237,0.763,0,1,0.056169,0.27049724769768,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_058,noul,1,0.2634,0.7365999999999999,0,0,0.5425795599999998,1.3340814896729563,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_059,noul,0,0.2671,0.7329,0,1,0.07134241000000001,0.3107460120503326,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_060,noul,1,0.3269,0.6731,0,0,0.45306361000000006,1.118100965251972,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_061,noul,0,0.289,0.7110000000000001,0,1,0.08352099999999998,0.3410828491788961,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_062,noul,1,0.3212,0.6788000000000001,0,0,0.4607694400000001,1.1356912969095305,,,,,,
case_1974b5de899311c3,parallel_question_scaling,4813.902958063409,59584,0,64.0,q_063,noul,0,0.2676,0.7323999999999999,0,1,0.07160976000000001,0.3114284661817815,,,,,,
case_a6fb87d6152a52cd,parallel_question_scaling,9697.212334023789,119168,0,128.0,q_000,noul,1,0.5636,0.5636,1,1,0.19044496,0.5734104989576119,,,,,,
case_a6fb87d6152a52cd,parallel_question_scaling,9697.212334023789,119168,0,128.0,q_001,noul,0,0.4716,0.5284,0,1,0.22240656000000003,0.6379017063339668,,,,,,
