case_id,experiment,latency_ms,input_tokens,output_tokens,meta_family,meta_difficulty,meta_index,question_id,type,label,p_true,confidence_top,pred,correct,brier,nll,reported_confidence,entropy_norm,p_label,score,mae,meta_group,meta_trial,meta_semantic_correct,meta_noise_units,meta_removal_level,meta_variant,meta_attack_target,meta_instructions,meta_repetition,meta_question_count,meta_bundle_size,meta_cardinality,meta_domain,meta_context_chars,meta_evidence_position
case_f26b6f814ff323d0,calibration_noul_factual,11.032041860744357,56,0,factual,easy,0.0,target,noul,1,0.6154,0.6154,1,1,0.14791716000000005,0.4854828160941957,,,,,,,,,,,,,,,,,,,,
case_f5b79cab6a426b41,calibration_noul_factual,9.822499938309193,56,0,factual,easy,1.0,target,noul,1,0.6201,0.6201,1,1,0.14432401,0.4778745236263048,,,,,,,,,,,,,,,,,,,,
case_edd0eb03665dd4bc,calibration_noul_factual,10.304334107786417,57,0,factual,easy,2.0,target,noul,0,0.2012,0.7988,0,1,0.040481439999999994,0.22464467744047695,,,,,,,,,,,,,,,,,,,,
case_7593846340b74616,calibration_noul_factual,9.717042092233896,57,0,factual,easy,3.0,target,noul,0,0.2038,0.7962,0,1,0.041534440000000006,0.2279048684159202,,,,,,,,,,,,,,,,,,,,
case_3d8453af6ec3f290,calibration_noul_factual,9.840582963079214,57,0,factual,easy,4.0,target,noul,0,0.2045,0.7955,0,1,0.041820249999999996,0.2287844312042955,,,,,,,,,,,,,,,,,,,,
case_480bd0b979267840,calibration_noul_factual,9.790125070139766,57,0,factual,easy,5.0,target,noul,0,0.2067,0.7933,0,1,0.042724889999999995,0.2315538186741798,,,,,,,,,,,,,,,,,,,,
case_5c60e3182c275547,calibration_noul_factual,9.826959110796452,56,0,factual,easy,6.0,target,noul,1,0.619,0.619,1,1,0.145161,0.47965000629754095,,,,,,,,,,,,,,,,,,,,
case_b8c770bc52935964,calibration_noul_factual,9.80420783162117,57,0,factual,easy,7.0,target,noul,0,0.2139,0.7861,0,1,0.04575321,0.24067126818242623,,,,,,,,,,,,,,,,,,,,
case_6a781cb69f6bfc8f,calibration_noul_factual,9.750332916155457,56,0,factual,easy,8.0,target,noul,1,0.6236,0.6236,1,1,0.14167695999999996,0.47224614179851554,,,,,,,,,,,,,,,,,,,,
case_2cb3d96c7e62f5d7,calibration_noul_factual,9.755375096574426,57,0,factual,easy,9.0,target,noul,0,0.2217,0.7783,0,1,0.04915089,0.2506432250167946,,,,,,,,,,,,,,,,,,,,
case_57e7aab90f79707a,calibration_noul_factual,9.777749888598919,57,0,factual,easy,10.0,target,noul,0,0.228,0.772,0,1,0.051984,0.25877072895736086,,,,,,,,,,,,,,,,,,,,
case_922a5f36d45eb120,calibration_noul_factual,9.82237490825355,57,0,factual,easy,11.0,target,noul,0,0.2265,0.7735,0,1,0.05130225,0.2568296089690163,,,,,,,,,,,,,,,,,,,,
case_2b92a947d9e0ef82,calibration_noul_factual,9.683083975687623,56,0,factual,easy,12.0,target,noul,1,0.6336,0.6336,1,1,0.13424895999999997,0.4563374384819209,,,,,,,,,,,,,,,,,,,,
case_d0f0324acb12ed07,calibration_noul_factual,9.613958187401295,57,0,factual,easy,13.0,target,noul,0,0.2176,0.7824,0,1,0.04734976,0.2453891602615295,,,,,,,,,,,,,,,,,,,,
case_12d8f637391a3294,calibration_noul_factual,9.737792192026973,56,0,factual,easy,14.0,target,noul,1,0.6421,0.6421,1,1,0.12809241,0.44301122418213434,,,,,,,,,,,,,,,,,,,,
case_bc0f6b8e47c89ca3,calibration_noul_factual,9.798042010515928,57,0,factual,easy,15.0,target,noul,0,0.2217,0.7783,0,1,0.04915089,0.2506432250167946,,,,,,,,,,,,,,,,,,,,
case_a423d4dde645898d,calibration_noul_factual,9.765749797224998,57,0,factual,easy,16.0,target,noul,0,0.2305,0.7695,0,1,0.053130250000000004,0.2620143257032032,,,,,,,,,,,,,,,,,,,,
case_0a161cdafcadb8c2,calibration_noul_factual,9.788542054593563,56,0,factual,easy,17.0,target,noul,1,0.6462,0.6462,1,1,0.12517444,0.43664622559173916,,,,,,,,,,,,,,,,,,,,
case_189c489db5f05d7d,calibration_noul_factual,9.864416904747486,56,0,factual,easy,18.0,target,noul,1,0.6176,0.6176,1,1,0.14622975999999996,0.48191428027157057,,,,,,,,,,,,,,,,,,,,
case_4d8023d9137972fb,calibration_noul_factual,9.73404198884964,56,0,factual,easy,19.0,target,noul,1,0.6227,0.6227,1,1,0.14235528999999997,0.4736904171037307,,,,,,,,,,,,,,,,,,,,
case_d017ef763b2518dd,calibration_noul_factual,9.726457996293902,56,0,factual,easy,20.0,target,noul,1,0.6263,0.6263,1,1,0.13965169000000002,0.46792578945076996,,,,,,,,,,,,,,,,,,,,
case_c9bf3f7754c3cc9f,calibration_noul_factual,9.748957818374038,57,0,factual,easy,21.0,target,noul,0,0.2178,0.7822,0,1,0.047436839999999994,0.2456448166607233,,,,,,,,,,,,,,,,,,,,
case_38fca5f5e76db251,calibration_noul_factual,9.765582857653499,57,0,factual,easy,22.0,target,noul,0,0.2291,0.7709,0,1,0.05248681,0.2601966155169205,,,,,,,,,,,,,,,,,,,,
case_31dd9f5bf856e101,calibration_noul_factual,9.848792105913162,56,0,factual,easy,23.0,target,noul,1,0.6441,0.6441,1,1,0.12666481,0.439901285429292,,,,,,,,,,,,,,,,,,,,
case_8d87024ce40d1dbc,calibration_noul_factual,9.75766684859991,57,0,factual,easy,24.0,target,noul,0,0.2306,0.7694,0,1,0.05317636,0.26214428866394235,,,,,,,,,,,,,,,,,,,,
case_4119a31089079974,calibration_noul_factual,9.773083962500095,56,0,factual,easy,25.0,target,noul,1,0.6371,0.6371,1,1,0.13169641,0.45082864985969456,,,,,,,,,,,,,,,,,,,,
case_91b73918b80f561a,calibration_noul_factual,9.703875053673983,56,0,factual,easy,26.0,target,noul,1,0.6354,0.6354,1,1,0.13293316000000002,0.45350055714672133,,,,,,,,,,,,,,,,,,,,
case_e4e7c2436c3033e0,calibration_noul_factual,9.908874984830618,56,0,factual,easy,27.0,target,noul,1,0.6207,0.6207,1,1,0.14386849,0.47690740556253,,,,,,,,,,,,,,,,,,,,
case_411678805718f686,calibration_noul_factual,9.991749888285995,57,0,factual,easy,28.0,target,noul,0,0.2334,0.7666,0,1,0.05447556,0.2657901260356824,,,,,,,,,,,,,,,,,,,,
case_1be964f1db488362,calibration_noul_factual,9.787583956494927,57,0,factual,easy,29.0,target,noul,0,0.2161,0.7839,0,1,0.04669920999999999,0.2434738177874605,,,,,,,,,,,,,,,,,,,,
case_3c0fa700a74f6bee,calibration_noul_factual,9.846667060628533,56,0,factual,easy,30.0,target,noul,1,0.6183,0.6183,1,1,0.14569489000000002,0.4807815024176141,,,,,,,,,,,,,,,,,,,,
case_ca75e413eec7b988,calibration_noul_factual,9.805291891098022,57,0,factual,easy,31.0,target,noul,0,0.2051,0.7948999999999999,0,1,0.04206601,0.22953895840307018,,,,,,,,,,,,,,,,,,,,
case_e89d11548df4647d,calibration_noul_factual,9.76325012743473,56,0,factual,easy,32.0,target,noul,1,0.6314,0.6314,1,1,0.13586596000000004,0.45981570285824586,,,,,,,,,,,,,,,,,,,,
case_4c22f07917006f4a,calibration_noul_factual,9.706000098958611,56,0,factual,easy,33.0,target,noul,1,0.6316,0.6316,1,1,0.13571855999999996,0.45949899660064997,,,,,,,,,,,,,,,,,,,,
case_8a3e124d2e1a6afa,calibration_noul_factual,9.888541884720325,57,0,factual,easy,34.0,target,noul,0,0.2087,0.7913,0,1,0.04355569,0.23407811636698939,,,,,,,,,,,,,,,,,,,,
case_acd763780f8db207,calibration_noul_factual,9.734292048960924,56,0,factual,easy,35.0,target,noul,1,0.6136,0.6136,1,1,0.14930496,0.4884120289290906,,,,,,,,,,,,,,,,,,,,
case_e61b51e571b99c62,calibration_noul_factual,9.715249994769692,56,0,factual,easy,36.0,target,noul,1,0.6294,0.6294,1,1,0.13734436000000003,0.46298829435183064,,,,,,,,,,,,,,,,,,,,
case_97581800e2bac82a,calibration_noul_factual,9.809624869376421,57,0,factual,easy,37.0,target,noul,0,0.1841,0.8159,0,1,0.03389281,0.20346348054738259,,,,,,,,,,,,,,,,,,,,
