case_id,experiment,latency_ms,input_tokens,output_tokens,meta_family,meta_target_probability,meta_probability_bin,meta_index,question_id,type,label,p_true,confidence_top,target_probability,prob_error,prob_abs_error,prob_sq_error,target_kl,meta_prior,meta_tpr,meta_fpr,meta_signal_positive,meta_hidden_label,pred,correct,brier,nll,meta_a_positive,meta_b_positive,meta_conflicting,meta_group,meta_variant,meta_observed_signal,meta_target_entropy,reported_confidence,entropy_norm,p_label,target_distribution_json,pred_distribution_json,distribution_tv,distribution_jsd,soft_brier,meta_repetition
case_58b63884fc3ca195,prob_explicit_randomness,760.747707914561,159,0,bag,0.05,0.05,0.0,target,noul,,0.5,0.5,0.05,0.45,0.45,0.2025,0.4946319372140727,,,,,,,,,,,,,,,,,,,,,,,,,
case_fa27ef1103e8bc7b,prob_explicit_randomness,184.52799995429814,163,0,tickets,0.1,0.1,1.0,target,noul,,0.7310585786300049,0.7310585786300049,0.1,0.6310585786300049,0.6310585786300049,0.3982349296625221,0.8881787141267747,,,,,,,,,,,,,,,,,,,,,,,,,
case_b6bfc15dba035929,prob_explicit_randomness,166.5475000627339,160,0,quality_lot,0.15,0.15,2.0,target,noul,,0.5,0.5,0.15,0.35,0.35,0.12249999999999998,0.2704380927539544,,,,,,,,,,,,,,,,,,,,,,,,,
case_03e832b1960e0579,prob_explicit_randomness,164.66966713778675,159,0,random_record,0.2,0.2,3.0,target,noul,,0.9770226300899744,0.9770226300899744,0.2,0.7770226300899743,0.7770226300899743,0.6037641676719411,2.5228430408342364,,,,,,,,,,,,,,,,,,,,,,,,,
case_599227946ee8a426,prob_explicit_randomness,160.27920879423618,160,0,bag,0.25,0.25,4.0,target,noul,,0.7057850278370112,0.7057850278370112,0.25,0.45578502783701125,0.45578502783701125,0.20773999160038512,0.4423594363862474,,,,,,,,,,,,,,,,,,,,,,,,,
case_6899b13bc7e9427e,prob_explicit_randomness,168.6732079833746,164,0,tickets,0.3,0.3,5.0,target,noul,,0.7057850278370112,0.7057850278370112,0.3,0.40578502783701126,0.40578502783701126,0.164661488816684,0.3500802789501622,,,,,,,,,,,,,,,,,,,,,,,,,
case_56ca818aeb6bb878,prob_explicit_randomness,161.7267078254372,160,0,quality_lot,0.35,0.35,6.0,target,noul,,0.7310585786300049,0.7310585786300049,0.35,0.3810585786300049,0.3810585786300049,0.14520564034751965,0.3158150484835904,,,,,,,,,,,,,,,,,,,,,,,,,
case_a1099419cfc18b4c,prob_explicit_randomness,161.3322920165956,159,0,random_record,0.4,0.4,7.0,target,noul,,0.9706877692486436,0.9706877692486436,0.4,0.5706877692486436,0.5706877692486436,0.3256845299699931,1.4567387512633632,,,,,,,,,,,,,,,,,,,,,,,,,
case_d8562e4e9d6252cf,prob_explicit_randomness,160.17762501724064,160,0,bag,0.45,0.45,8.0,target,noul,,0.7310585786300049,0.7310585786300049,0.45,0.2810585786300049,0.2810585786300049,0.07899392462151864,0.17512287380463443,,,,,,,,,,,,,,,,,,,,,,,,,
case_ce80453456421327,prob_explicit_randomness,170.02491606399417,165,0,tickets,0.5,0.5,9.0,target,noul,,0.9579122720843811,0.9579122720843811,0.5,0.4579122720843811,0.4579122720843811,0.20968364892548028,0.9123518986691422,,,,,,,,,,,,,,,,,,,,,,,,,
case_80d80372218ea9f4,prob_explicit_randomness,167.31020901352167,162,0,quality_lot,0.55,0.55,10.0,target,noul,,0.9149009549929797,0.9149009549929797,0.55,0.3649009549929797,0.3649009549929797,0.1331527069547886,0.46955065176134997,,,,,,,,,,,,,,,,,,,,,,,,,
case_70698ea324f22058,prob_explicit_randomness,162.1176670305431,159,0,random_record,0.6,0.6,11.0,target,noul,,0.9706877692486436,0.9706877692486436,0.6,0.37068776924864366,0.37068776924864366,0.13740942227053568,0.7567387512633637,,,,,,,,,,,,,,,,,,,,,,,,,
case_b1697e60b140bdf4,prob_explicit_randomness,160.1737909950316,159,0,bag,0.65,0.65,12.0,target,noul,,0.8933094060543487,0.8933094060543487,0.65,0.2433094060543487,0.2433094060543487,0.05919946707451994,0.20912563973693654,,,,,,,,,,,,,,,,,,,,,,,,,
case_0ea2819c89ab9dd5,prob_explicit_randomness,170.07037508301437,164,0,tickets,0.7,0.7,13.0,target,noul,,0.9579122720843811,0.9579122720843811,0.7,0.25791227208438117,0.25791227208438117,0.06651874009172785,0.36963477717419424,,,,,,,,,,,,,,,,,,,,,,,,,
case_319fec3b9d79394f,prob_explicit_randomness,168.68054098449647,161,0,quality_lot,0.75,0.75,14.0,target,noul,,0.9241418199787566,0.9241418199787566,0.75,0.17414181997875655,0.17414181997875655,0.030325373465513655,0.14155458967374157,,,,,,,,,,,,,,,,,,,,,,,,,
case_9adf334cdf830864,prob_explicit_randomness,161.98720806278288,159,0,random_record,0.8,0.8,15.0,target,noul,,0.9859363729567544,0.9859363729567544,0.8,0.18593637295675436,0.18593637295675436,0.03457233478831325,0.3637610333933152,,,,,,,,,,,,,,,,,,,,,,,,,
case_bb3602bb9db0c170,prob_explicit_randomness,161.45754209719598,159,0,bag,0.85,0.85,16.0,target,noul,,0.9046505351008906,0.9046505351008906,0.85,0.054650535100890574,0.054650535100890574,0.0029866809868136727,0.01499747111075636,,,,,,,,,,,,,,,,,,,,,,,,,
case_659cf38e7e89ea90,prob_explicit_randomness,169.81733310967684,163,0,tickets,0.9,0.9,17.0,target,noul,,0.9796676466573412,0.9796676466573412,0.9,0.07966764665734116,0.07966764665734116,0.006346933923918962,0.08295892750964835,,,,,,,,,,,,,,,,,,,,,,,,,
case_c5b5cc01e0839c1e,prob_explicit_randomness,160.0577908102423,160,0,quality_lot,0.95,0.95,18.0,target,noul,,0.9669140216112958,0.9669140216112958,0.95,0.01691402161129585,0.01691402161129585,0.000286084127067383,0.003880456637166123,,,,,,,,,,,,,,,,,,,,,,,,,
case_268e3fc720f2ea74,prob_explicit_randomness,159.86529178917408,160,0,random_record,0.05,0.05,19.0,target,noul,,0.9669140216112958,0.9669140216112958,0.05,0.9169140216112958,0.9169140216112958,0.8407313230273997,3.0413804566371643,,,,,,,,,,,,,,,,,,,,,,,,,
case_fa150babec70a24b,prob_explicit_randomness,163.7612918857485,159,0,bag,0.1,0.1,20.0,target,noul,,0.5312093733737563,0.5312093733737563,0.1,0.4312093733737563,0.4312093733737563,0.18594152368538758,0.42001606192572094,,,,,,,,,,,,,,,,,,,,,,,,,
case_f07923776609a073,prob_explicit_randomness,176.10449995845556,163,0,tickets,0.15,0.15,21.0,target,noul,,0.8175744761936437,0.8175744761936437,0.15,0.6675744761936436,0.6675744761936436,0.44565568126521765,1.0537041901767614,,,,,,,,,,,,,,,,,,,,,,,,,
