case_id,experiment,latency_ms,input_tokens,output_tokens,meta_domain,meta_scenario_id,meta_variant,meta_noise_units,meta_reference_entropy_norm,meta_reference_max_probability,meta_panel_votes,meta_reference_source,meta_rationale,question_id,type,label,pred,confidence_top,reported_confidence,entropy_norm,correct,p_label,nll,brier,target_distribution_json,pred_distribution_json,distribution_tv,distribution_jsd,target_kl,soft_brier,meta_repetition
case_eb8e1913fff4d81a,semantic_adjudication,35.42833402752876,155,0,incident_triage,inc_clear_sev1,0.0,0.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.4833,0.1419,0.8580149785900703,1,0.4833,0.7271177001310987,0.38197586999999994,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.0953, ""sev1"": 0.4833, ""sev2"": 0.3033, ""sev3"": 0.118}",0.46665,0.1630435782049892,0.5518982149930511,0.30497587,
case_a7fae830ef540edf,semantic_adjudication,28.938249917700887,177,0,incident_triage,inc_clear_sev1,1.0,2.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev2,0.5676,0.1776,0.8224585469007074,0,0.2061,1.5793937910857236,0.97808267,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1113, ""sev1"": 0.2061, ""sev2"": 0.5676, ""sev3"": 0.1151}",0.74395,0.335394038597873,1.3302257748703774,0.8469326699999999,
case_017dd6fd8ac29a0d,semantic_adjudication,29.020417015999556,217,0,incident_triage,inc_clear_sev1,2.0,6.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev2,0.3733,0.0658,0.9342140369818177,0,0.3338,1.0972132677544024,0.62656038,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1621, ""sev1"": 0.3338, ""sev2"": 0.3733, ""sev3"": 0.1308}",0.6162,0.24843254238140988,0.8931060056738895,0.52761038,
case_f69f3191cf345291,semantic_adjudication,31.63504204712808,266,0,incident_triage,inc_clear_sev1,3.0,12.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev2,0.4602,0.1227,0.8773000996504683,0,0.3102,1.1705380282396987,0.71425593,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1033, ""sev1"": 0.3102, ""sev2"": 0.4602, ""sev3"": 0.1264}",0.63985,0.2597306442206224,0.9523005885508847,0.6042559299999999,
case_10e0f579db461880,semantic_adjudication,55.08633400313556,375,0,incident_triage,inc_clear_sev1,4.0,24.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.4492,0.1252,0.8748231087490793,1,0.4492,0.800287056117849,0.43611767999999995,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1002, ""sev1"": 0.4492, ""sev2"": 0.3282, ""sev3"": 0.1224}",0.5007999999999999,0.18018792178522597,0.6174640649823913,0.3532176799999999,
case_5810c4d9837f47cf,semantic_adjudication,24.234249955043197,152,0,incident_triage,inc_clear_sev1,5.0,0.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.4396,0.1161,0.8839326356172811,1,0.4396,0.8218900564526708,0.44920027,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1233, ""sev1"": 0.4396, ""sev2"": 0.3291, ""sev3"": 0.1079}",0.51035,0.18558542419144183,0.6378499914358067,0.36525027,
case_ff8f442f3714feca,semantic_adjudication,26.839040918275714,184,0,incident_triage,inc_clear_sev1,6.0,2.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev2,0.4549,0.112,0.8879461081532073,0,0.3026,1.1953434776278815,0.7228275700000001,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1126, ""sev1"": 0.3026, ""sev2"": 0.4549, ""sev3"": 0.1298}",0.64735,0.26531982170024465,0.9764449436209239,0.61259757,
case_b770d9693b46a5ea,semantic_adjudication,24.97925003990531,211,0,incident_triage,inc_clear_sev1,7.0,6.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.4237,0.0886,0.9114128384602499,1,0.4237,0.8587296213496235,0.46382670000000004,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1313, ""sev1"": 0.4237, ""sev2"": 0.3104, ""sev3"": 0.1346}",0.5263,0.1962214099985356,0.6757725714699233,0.3801567,
case_9cc23d5eb37df3c7,semantic_adjudication,28.105124831199646,264,0,incident_triage,inc_clear_sev1,8.0,12.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.3831,0.0738,0.9261815028348251,1,0.3831,0.9594592272755338,0.53340686,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.1288, ""sev1"": 0.3831, ""sev2"": 0.3366, ""sev3"": 0.1515}",0.5669,0.21891767630413198,0.7674140224271562,0.44305686,
case_fb1d164eb58f0c34,semantic_adjudication,38.6640839278698,369,0,incident_triage,inc_clear_sev1,9.0,24.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.5552,0.1768,0.8232322002728645,1,0.5552,0.5884268697895423,0.27466189999999996,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.0999, ""sev1"": 0.5552, ""sev2"": 0.2331, ""sev3"": 0.1118}",0.39479999999999993,0.1316841252746893,0.43330466960121383,0.21187189999999995,
