case_id,experiment,latency_ms,input_tokens,output_tokens,meta_question_count,question_id,type,label,p_true,confidence_top,pred,correct,brier,nll,meta_cardinality,reported_confidence,entropy_norm,p_label,meta_context_chars,meta_evidence_position
case_5b7f4b9c14258487,parallel_question_scaling,926.8539999611676,1152,0,1.0,q_000,noul,1,0.9994472213630764,0.9994472213630764,1,1,3.0556422143911427e-07,0.0005529314753607978,,,,,,
case_4602ebd4f8141c43,parallel_question_scaling,903.9118341170251,2304,0,2.0,q_000,noul,1,0.9994472213630764,0.9994472213630764,1,1,3.0556422143911427e-07,0.0005529314753607978,,,,,,
case_4602ebd4f8141c43,parallel_question_scaling,903.9118341170251,2304,0,2.0,q_001,noul,0,0.009708476481474066,0.9902915235185259,0,1,9.425451559133506e-05,0.009755911000221412,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,1011.1310828942806,4608,0,4.0,q_000,noul,1,0.9994472213630764,0.9994472213630764,1,1,3.0556422143911427e-07,0.0005529314753607978,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,1011.1310828942806,4608,0,4.0,q_001,noul,0,0.009708476481474066,0.9902915235185259,0,1,9.425451559133506e-05,0.009755911000221412,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,1011.1310828942806,4608,0,4.0,q_002,noul,1,0.9989677689632452,0.9989677689632452,1,1,1.0655009132398076e-06,0.0010327641541098087,,,,,,
case_b207487be4ab3cf4,parallel_question_scaling,1011.1310828942806,4608,0,4.0,q_003,noul,0,0.7549149868676283,0.7549149868676283,1,0,0.5698966373973513,1.4061501362483146,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_000,noul,1,0.9994472213630764,0.9994472213630764,1,1,3.0556422143911427e-07,0.0005529314753607978,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_001,noul,0,0.009708476481474066,0.9902915235185259,0,1,9.425451559133506e-05,0.009755911000221412,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_002,noul,1,0.9989677689632452,0.9989677689632452,1,1,1.0655009132398076e-06,0.0010327641541098087,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_003,noul,0,0.7772998611746911,0.7772998611746911,1,0,0.604195074182194,1.5019290813453725,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_004,noul,1,0.9980732653366725,0.9980732653366725,1,1,3.7123064628676946e-06,0.001928593204219395,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_005,noul,0,0.5312093733737563,0.5312093733737563,1,0,0.28218339836013884,0.7575990353171691,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_006,noul,1,0.9980732653366725,0.9980732653366725,1,1,3.7123064628676946e-06,0.001928593204219395,,,,,,
case_eb5d4803a7c1d76e,parallel_question_scaling,1235.8915831428021,9216,0,8.0,q_007,noul,0,0.9465966702001757,0.9465966702001757,1,0,0.8960452560340602,2.9298821791580765,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_000,noul,1,0.9995121428772178,0.9995121428772178,1,1,2.380045722493356e-07,0.0004879761637865763,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_001,noul,0,0.009708476481474066,0.9902915235185259,0,1,9.425451559133506e-05,0.009755911000221412,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_002,noul,1,0.9989677689632452,0.9989677689632452,1,1,1.0655009132398076e-06,0.0010327641541098087,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_003,noul,0,0.7549149868676283,0.7549149868676283,1,0,0.5698966373973513,1.4061501362483146,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_004,noul,1,0.9980732653366725,0.9980732653366725,1,1,3.7123064628676946e-06,0.001928593204219395,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_005,noul,0,0.5312093733737563,0.5312093733737563,1,0,0.28218339836013884,0.7575990353171691,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_006,noul,1,0.9980732653366725,0.9980732653366725,1,1,3.7123064628676946e-06,0.001928593204219395,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_007,noul,0,0.9465966702001757,0.9465966702001757,1,0,0.8960452560340602,2.9298821791580765,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_008,noul,1,0.9953904278206259,0.9953904278206259,1,1,2.1248155676859482e-05,0.004620229018803795,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_009,noul,0,0.7772998611746911,0.7772998611746911,1,0,0.604195074182194,1.5019290813453725,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_010,noul,1,0.9940889311437562,0.9940889311437562,1,1,3.494073502325559e-05,0.005928608376116514,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_011,noul,0,0.029312230751356316,0.9706877692486436,0,1,0.0008592068716207588,0.029750418272620607,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_012,noul,1,0.9975273768433653,0.9975273768433653,1,1,6.113865274725934e-06,0.0024756851377303315,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_013,noul,0,0.020332353342658753,0.9796676466573413,0,1,0.0004134045924507266,0.02054190090109686,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_014,noul,1,0.9902915235185259,0.9902915235185259,1,1,9.42545155913358e-05,0.009755911000221412,,,,,,
case_3b3270e0eae0bfbc,parallel_question_scaling,1743.080500047654,18438,0,16.0,q_015,noul,0,0.02297736991002561,0.9770226300899744,0,1,0.0005279595279821503,0.02324546437242505,,,,,,
case_9fb95ccdd1ab666d,parallel_question_scaling,2840.7212919555604,36886,0,32.0,q_000,noul,1,0.9995121428772178,0.9995121428772178,1,1,2.380045722493356e-07,0.0004879761637865763,,,,,,
