case_id,experiment,latency_ms,input_tokens,output_tokens,meta_domain,meta_scenario_id,meta_variant,meta_noise_units,meta_reference_entropy_norm,meta_reference_max_probability,meta_panel_votes,meta_reference_source,meta_rationale,question_id,type,label,pred,confidence_top,reported_confidence,entropy_norm,correct,p_label,nll,brier,target_distribution_json,pred_distribution_json,distribution_tv,distribution_jsd,target_kl,soft_brier,meta_repetition
case_eb8e1913fff4d81a,semantic_adjudication,216.28929115831852,228,0,incident_triage,inc_clear_sev1,0.0,0.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.994189662910506,0.994189662910506,0.029020987685917175,1,0.994189662910506,0.005827282769999481,5.219153535113873e-05,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.00042823978121615775, ""sev1"": 0.994189662910506, ""sev2"": 0.004063025918798874, ""sev3"": 0.0013190713894789805}",0.04593697408120117,0.012382312973056087,0.0823120394241269,0.0040648552345218586,
case_a7fae830ef540edf,semantic_adjudication,209.4072918407619,251,0,incident_triage,inc_clear_sev1,1.0,2.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.970983765848691,0.970983765848691,0.1117331899862155,1,0.970983765848691,0.02944552983295423,0.001290936127210953,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.005773680521342122, ""sev1"": 0.970983765848691, ""sev2"": 0.02015212514630109, ""sev3"": 0.0030904284836658527}",0.02984787485369894,0.006407726846752653,0.024680286487081624,0.001374100197449941,
case_017dd6fd8ac29a0d,semantic_adjudication,267.22395815886557,291,0,incident_triage,inc_clear_sev1,2.0,6.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.9936087307079401,0.9936087307079401,0.030625989474065064,1,0.9936087307079401,0.006411780897143554,6.881591224031944e-05,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.0007995897447486968, ""sev1"": 0.9936087307079401, ""sev2"": 0.005213980095977177, ""sev3"": 0.00037769945133400983}",0.04478601990402283,0.011156363290266879,0.07039653755127097,0.003908290973436615,
case_f69f3191cf345291,semantic_adjudication,308.35704202763736,339,0,incident_triage,inc_clear_sev1,3.0,12.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.9789867239660437,0.9789867239660437,0.08731304206972616,1,0.9789867239660437,0.021237197354562334,0.0006343563221662447,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.010875560127523956, ""sev1"": 0.9789867239660437, ""sev2"": 0.008469894743655806, ""sev3"": 0.0016678211627764623}",0.04153010525634417,0.01262610791714324,0.060221954008689724,0.002686039244405036,
case_10e0f579db461880,semantic_adjudication,355.40687502361834,448,0,incident_triage,inc_clear_sev1,4.0,24.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.9949540611558425,0.9949540611558425,0.025767564872562102,1,0.9949540611558425,0.005058712582017944,3.946384078673246e-05,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.0035883646389938025, ""sev1"": 0.9949540611558425, ""sev2"": 0.0005502935402404083, ""sev3"": 0.0009072806649232381}",0.049449706459759595,0.017819867579212313,0.1815434692361454,0.004479840602346946,
case_5810c4d9837f47cf,semantic_adjudication,206.2655829358846,226,0,incident_triage,inc_clear_sev1,5.0,0.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.9963152819204103,0.9963152819204103,0.019214693898208582,1,0.9963152819204103,0.0036915233754604656,2.2058412204596788e-05,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.002798444579775098, ""sev1"": 0.9963152819204103, ""sev2"": 0.0008017677958529645, ""sev3"": 8.45057039615776e-05}",0.049198232204147034,0.016820347826056653,0.16142628002958787,0.004573409824660335,
case_ff8f442f3714feca,semantic_adjudication,260.88220882229507,257,0,incident_triage,inc_clear_sev1,6.0,2.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.990171663823499,0.990171663823499,0.04632280727392131,1,0.990171663823499,0.0098769530836485,0.00014034124949419415,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.0011593718222558246, ""sev1"": 0.990171663823499, ""sev2"": 0.005887775933314141, ""sev3"": 0.0027811884209311116}",0.044112224066685905,0.011534686228788078,0.06761170973777593,0.003568730038512681,
case_b770d9693b46a5ea,semantic_adjudication,263.4738751221448,285,0,incident_triage,inc_clear_sev1,7.0,6.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.996374204967206,0.996374204967206,0.019045579428851402,1,0.996374204967206,0.0036323841596412744,2.140965091640287e-05,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.002798610082486861, ""sev1"": 0.996374204967206, ""sev2"": 0.0006244543158983037, ""sev3"": 0.00020273063440895466}",0.04937554568410176,0.01717890851954434,0.17386714081376872,0.004596384716047174,
case_9cc23d5eb37df3c7,semantic_adjudication,306.5562918782234,336,0,incident_triage,inc_clear_sev1,8.0,12.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.9965565475728075,0.9965565475728075,0.018022803391207997,1,0.9965565475728075,0.003449394754838336,1.9953986398151653e-05,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.00048641451077240317, ""sev1"": 0.9965565475728075, ""sev2"": 0.0027991222453388896, ""sev3"": 0.00015791567108116528}",0.047200877754661134,0.01332792936588742,0.09868415140896572,0.0043956965191450205,
case_fb1d164eb58f0c34,semantic_adjudication,356.5975420642644,442,0,incident_triage,inc_clear_sev1,9.0,24.0,0.1431984785579781,0.95,"sev1:19,sev2:1,sev3:0,insufficient:0",benchmark_authored_adjudication,Broad total production outage with no workaround strongly supports SEV1.,target,choice,sev1,sev1,0.9980183103679567,0.9980183103679567,0.011005478880655914,1,0.9980183103679567,0.0019836557768974604,6.8735060787840405e-06,"{""insufficient"": 0.0, ""sev1"": 0.95, ""sev2"": 0.05, ""sev3"": 0.0}","{""insufficient"": 0.0017002437501162885, ""sev1"": 0.9980183103679567, ""sev2"": 0.00023010296949326842, ""sev3"": 5.134291243366225e-05}",0.049769897030506736,0.0175769847370427,0.22221841243102486,0.004785694245925136,
