case_id,experiment,latency_ms,input_tokens,output_tokens,meta_question_count,question_id,type,label,p_true,confidence_top,pred,correct,brier,nll,meta_cardinality,reported_confidence,entropy_norm,p_label,meta_context_chars,meta_evidence_position
case_35b7d89df9fd6788,parallel_question_scaling,81.29150001332164,483,0,1.0,q_000,noul,1,0.5912,0.5912,1,1,0.16711744000000003,0.5256009093481451,,,,,,
case_bb92abb17b8d91ee,parallel_question_scaling,88.92112481407821,966,0,2.0,q_000,noul,1,0.591,0.591,1,1,0.167281,0.5259392615760389,,,,,,
case_bb92abb17b8d91ee,parallel_question_scaling,88.92112481407821,966,0,2.0,q_001,noul,0,0.4825,0.5175000000000001,0,1,0.23280625,0.6587457538426128,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,159.41324993036687,1932,0,4.0,q_000,noul,1,0.591,0.591,1,1,0.167281,0.5259392615760389,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,159.41324993036687,1932,0,4.0,q_001,noul,0,0.4825,0.5175000000000001,0,1,0.23280625,0.6587457538426128,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,159.41324993036687,1932,0,4.0,q_002,noul,1,0.6004,0.6004,1,1,0.15968015999999996,0.51015917922283,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,159.41324993036687,1932,0,4.0,q_003,noul,0,0.4169,0.5831,0,1,0.17380561,0.5393965807540269,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_000,noul,1,0.591,0.591,1,1,0.167281,0.5259392615760389,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_001,noul,0,0.4825,0.5175000000000001,0,1,0.23280625,0.6587457538426128,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_002,noul,1,0.6004,0.6004,1,1,0.15968015999999996,0.51015917922283,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_003,noul,0,0.4169,0.5831,0,1,0.17380561,0.5393965807540269,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_004,noul,1,0.6011,0.6011,1,1,0.15912121,0.5089939689370208,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_005,noul,0,0.3915,0.6085,0,1,0.15327225,0.49675836655455513,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_006,noul,1,0.586,0.586,1,1,0.17139600000000002,0.5344354894051245,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,299.7459580656141,3864,0,8.0,q_007,noul,0,0.3965,0.6034999999999999,0,1,0.15721225000000003,0.505009238444551,,,,,,
