case_id,experiment,latency_ms,input_tokens,output_tokens,meta_family,meta_target_probability,meta_probability_bin,meta_index,question_id,type,label,p_true,confidence_top,target_probability,prob_error,prob_abs_error,prob_sq_error,target_kl,meta_prior,meta_tpr,meta_fpr,meta_signal_positive,meta_hidden_label,pred,correct,brier,nll,meta_a_positive,meta_b_positive,meta_conflicting,meta_group,meta_variant,meta_observed_signal,meta_target_entropy,reported_confidence,entropy_norm,p_label,target_distribution_json,pred_distribution_json,distribution_tv,distribution_jsd,soft_brier,meta_repetition
case_58b63884fc3ca195,prob_explicit_randomness,20.543124992400408,81,0,bag,0.05,0.05,0.0,target,noul,,0.6014,0.6014,0.05,0.5514,0.5514,0.30404196,0.7007165347187835,,,,,,,,,,,,,,,,,,,,,,,,,
case_fa27ef1103e8bc7b,prob_explicit_randomness,12.934125028550625,84,0,tickets,0.1,0.1,1.0,target,noul,,0.5551,0.5551,0.1,0.45510000000000006,0.45510000000000006,0.20711601000000004,0.46269289379028095,,,,,,,,,,,,,,,,,,,,,,,,,
case_b6bfc15dba035929,prob_explicit_randomness,14.193750219419599,80,0,quality_lot,0.15,0.15,2.0,target,noul,,0.4845,0.5155000000000001,0.15,0.3345,0.3345,0.11189025000000001,0.24921186853806054,,,,,,,,,,,,,,,,,,,,,,,,,
case_03e832b1960e0579,prob_explicit_randomness,13.052625115960836,84,0,random_record,0.2,0.2,3.0,target,noul,,0.4723,0.5277000000000001,0.2,0.2723,0.2723,0.07414728999999999,0.1610076277342371,,,,,,,,,,,,,,,,,,,,,,,,,
case_599227946ee8a426,prob_explicit_randomness,12.639624997973442,81,0,bag,0.25,0.25,4.0,target,noul,,0.6333,0.6333,0.25,0.3833,0.3833,0.14691888999999997,0.30427601717477226,,,,,,,,,,,,,,,,,,,,,,,,,
case_6899b13bc7e9427e,prob_explicit_randomness,12.692209100350738,84,0,tickets,0.3,0.3,5.0,target,noul,,0.5553,0.5553,0.3,0.2553,0.2553,0.06517809000000001,0.1328584961913196,,,,,,,,,,,,,,,,,,,,,,,,,
case_56ca818aeb6bb878,prob_explicit_randomness,12.519124895334244,80,0,quality_lot,0.35,0.35,6.0,target,noul,,0.4844,0.5156000000000001,0.35,0.13440000000000002,0.13440000000000002,0.018063360000000004,0.036824459667605516,,,,,,,,,,,,,,,,,,,,,,,,,
case_a1099419cfc18b4c,prob_explicit_randomness,12.596041895449162,84,0,random_record,0.4,0.4,7.0,target,noul,,0.4811,0.5188999999999999,0.4,0.0811,0.0811,0.006577210000000001,0.013286840666501126,,,,,,,,,,,,,,,,,,,,,,,,,
case_d8562e4e9d6252cf,prob_explicit_randomness,12.541541131213307,81,0,bag,0.45,0.45,8.0,target,noul,,0.6382,0.6382,0.45,0.18819999999999998,0.18819999999999998,0.03541923999999999,0.07312282891002714,,,,,,,,,,,,,,,,,,,,,,,,,
case_ce80453456421327,prob_explicit_randomness,12.561917072162032,84,0,tickets,0.5,0.5,9.0,target,noul,,0.5892,0.5892,0.5,0.08919999999999995,0.08919999999999995,0.00795663999999999,0.016172017100752528,,,,,,,,,,,,,,,,,,,,,,,,,
case_80d80372218ea9f4,prob_explicit_randomness,12.401999905705452,80,0,quality_lot,0.55,0.55,10.0,target,noul,,0.517,0.517,0.55,-0.03300000000000003,0.03300000000000003,0.0010890000000000019,0.0021853901452548383,,,,,,,,,,,,,,,,,,,,,,,,,
case_70698ea324f22058,prob_explicit_randomness,12.573833111673594,84,0,random_record,0.6,0.6,11.0,target,noul,,0.4698,0.5302,0.6,-0.13019999999999998,0.13019999999999998,0.016952039999999995,0.03405765109602314,,,,,,,,,,,,,,,,,,,,,,,,,
case_b1697e60b140bdf4,prob_explicit_randomness,12.673249933868647,81,0,bag,0.65,0.65,12.0,target,noul,,0.6509,0.6509,0.65,0.0009000000000000119,0.0009000000000000119,8.100000000000215e-07,1.781632735912129e-06,,,,,,,,,,,,,,,,,,,,,,,,,
case_0ea2819c89ab9dd5,prob_explicit_randomness,12.476749951019883,84,0,tickets,0.7,0.7,13.0,target,noul,,0.5555,0.5555,0.7,-0.14449999999999996,0.14449999999999996,0.02088024999999999,0.043897934085276535,,,,,,,,,,,,,,,,,,,,,,,,,
